206: 32 solutions found
(2, 8, 1, 4, 9, 5, 6, 7, 3)
(2, 8, 1, 4, 9, 5, 7, 6, 3)
(2, 8, 1, 7, 9, 4, 5, 6, 3)
(2, 8, 1, 7, 9, 4, 6, 5, 3)
(3, 7, 1, 5, 9, 4, 6, 8, 2)
(3, 7, 1, 5, 9, 4, 8, 6, 2)
(3, 8, 1, 4, 9, 7, 5, 6, 2)
(3, 8, 1, 4, 9, 7, 6, 5, 2)
(3, 9, 1, 4, 7, 5, 6, 8, 2)
(3, 9, 1, 4, 7, 5, 8, 6, 2)
(3, 9, 1, 7, 8, 6, 4, 5, 2)
(3, 9, 1, 7, 8, 6, 5, 4, 2)
(4, 8, 1, 2, 9, 5, 6, 7, 3)
(4, 8, 1, 2, 9, 5, 7, 6, 3)
(4, 8, 1, 3, 9, 7, 5, 6, 2)
(4, 8, 1, 3, 9, 7, 6, 5, 2)
(4, 8, 1, 7, 9, 5, 3, 6, 2)
(4, 8, 1, 7, 9, 5, 6, 3, 2)
(4, 9, 1, 3, 7, 5, 6, 8, 2)
(4, 9, 1, 3, 7, 5, 8, 6, 2)
(5, 7, 1, 3, 9, 4, 6, 8, 2)
(5, 7, 1, 3, 9, 4, 8, 6, 2)
(6, 9, 1, 7, 8, 5, 3, 4, 2)
(6, 9, 1, 7, 8, 5, 4, 3, 2)
(7, 8, 1, 2, 9, 4, 5, 6, 3)
(7, 8, 1, 2, 9, 4, 6, 5, 3)
(7, 8, 1, 4, 9, 5, 3, 6, 2)
(7, 8, 1, 4, 9, 5, 6, 3, 2)
(7, 9, 1, 3, 8, 6, 4, 5, 2)
(7, 9, 1, 3, 8, 6, 5, 4, 2)
(7, 9, 1, 6, 8, 5, 3, 4, 2)
(7, 9, 1, 6, 8, 5, 4, 3, 2)
