205: 20 solutions found
(3, 8, 1, 7, 9, 6, 4, 5, 2)
(3, 8, 1, 7, 9, 6, 5, 4, 2)
(3, 9, 1, 5, 8, 7, 4, 6, 2)
(3, 9, 1, 5, 8, 7, 6, 4, 2)
(3, 9, 1, 6, 7, 4, 5, 8, 2)
(3, 9, 1, 6, 7, 4, 8, 5, 2)
(4, 7, 1, 6, 9, 3, 5, 8, 2)
(4, 7, 1, 6, 9, 3, 8, 5, 2)
(5, 9, 1, 3, 8, 7, 4, 6, 2)
(5, 9, 1, 3, 8, 7, 6, 4, 2)
(6, 7, 1, 4, 9, 3, 5, 8, 2)
(6, 7, 1, 4, 9, 3, 8, 5, 2)
(6, 8, 1, 7, 9, 5, 3, 4, 2)
(6, 8, 1, 7, 9, 5, 4, 3, 2)
(6, 9, 1, 3, 7, 4, 5, 8, 2)
(6, 9, 1, 3, 7, 4, 8, 5, 2)
(7, 8, 1, 3, 9, 6, 4, 5, 2)
(7, 8, 1, 3, 9, 6, 5, 4, 2)
(7, 8, 1, 6, 9, 5, 3, 4, 2)
(7, 8, 1, 6, 9, 5, 4, 3, 2)
